applicationNumber,filingDate,publicationDate,ipc
201731009126 A,2017-03-16,2018-09-21,"C21D 8/04, C22C 38/12"
201731006998 A,2017-02-28,2018-08-31,"C22C 38/00, B23K 35/00, C22C 14/00"
201847009099 A,2018-03-13,2018-03-23,C23C 14/02
201731011102 A,2017-03-29,2018-10-05,C22C 38/04
201731010795 A,2017-03-27,2018-09-28,F27B 9/08
201631034314 A,2016-10-06,2018-04-13,"F16H 55/00, B21B 45/00, B21C 47/00"
201631037831 A,2016-11-05,2018-05-11,"H02J 3/00, G06F 1/00, H05B 37/00"
201621041721 A,2016-12-06,2018-06-08,"C25D 5/48, C01B 31/04, B82Y 40/00"
201631023212 A,2016-07-06,2018-01-12,B22D 11/00
201731039246 A,2017-11-03,2019-05-10,C22C 38/00
201731009536 A,2017-03-20,2019-03-29,B21B 1/20
201831006426 A,2018-02-20,2019-08-23,B23K 26/08
201731033168 A,2017-09-19,2019-03-22,G01N 29/11
201831005835 A,2018-02-15,2019-08-23,B22D 11/00
1336/KOL/2014 A,2014-12-22,2019-02-22,"C08G 18/50, ???:[F]"
201731009134 A,2017-03-16,2019-03-29,C04B 5/06
201947005245 A,2019-02-11,2019-03-01,"B21C 37/08, C21D 8/10, C21D 9/08"
201831009292 A,2018-03-14,2019-09-20,"C02F 3/28, C02F 3/30"
201947005847 A,2019-02-14,2019-03-15,"C23C 2/06, C23C 2/16, C23C 2/20"
201831006649 A,2018-02-21,2019-08-23,G01F 23/00
201831011203 A,2018-03-27,2019-10-04,C02F 1/28
201731046711 A,2017-12-26,2019-06-28,C22C 33/00
201731039160 A,2017-11-02,2019-05-03,B22F 9/22
348/KOL/2007 A,2007-03-12,2008-10-03,B21B 31/00
872/KOL/2006 A,2006-08-28,2008-03-14,C21D 8/02
80/KOL/2007 A,2007-01-22,2008-08-29,C21C 5/52
00399/KOL/2006 A,2006-05-02,2008-05-16,C21D 1/00
1208/KOL/2006 A,2006-11-13,2008-12-05,B26D 7/26
664/KOL/2007 A,2007-04-30,2008-11-07,C22C 38/04
1055/KOL/2007 A,2007-07-30,2009-04-03,"B21D 22/22, B21D 22/02, B21D 22/20"
1097/KOL/2007 A,2007-08-07,2009-04-10,"C01B 13/00, C01B 21/00, B22F 9/00"
00248/KOL/2006 A,2006-03-23,2009-04-10,B21B 1/00
497/KOL/2006 A,2006-05-25,2009-04-10,A62C 31/28
632/KOL/2006 A,2006-06-27,2009-04-10,G08B 13/14
624/KOL/2007 A,2007-04-23,2009-06-19,C22C 38/02
1049/KOL/2007 A,2007-07-27,2009-04-03,C02F 1/50
206/KOL/2008 A,2008-02-05,2009-08-07,C21D 8/12
242/KOL/2006 A,2006-03-22,2009-06-19,H01B 1/02
379/KOL/2006 A,2006-04-26,2009-06-19,"C21C 8/00, C22C 38/00"
1476/KOL/2007 A,2007-10-29,2009-06-05,"C09D 1/00, C09D 5/18, C09D 1/00"
516/KOL/2006 A,2006-05-31,2009-06-19,C21C 5/32
517/KOL/2006 A,2006-05-31,2009-06-19,B08B 3/00
874/KOL/2006 A,2006-08-29,2009-04-10,B23P 15/00
1550/KOL/2008 A,2008-09-08,2010-03-12,"C01F 7/26, C23G 1/02, C01F 7/00"
1980/KOL/2008 A,2008-11-07,2010-05-14,"B23K 35/22, B23K 35/38"
212/KOL/2009 A,2009-02-06,2010-08-13,C08J 5/12
1336/KOL/2008 A,2008-08-06,2010-02-12,C10L 5/06
1142/KOL/2008 A,2008-08-30,2010-03-05,C01G 9/06
1286/KOL/2008 A,2008-07-29,2010-02-05,C22C 38/28
144/KOL/2009 A,2009-01-27,2010-07-30,G01C 19/64
969/KOL/2009 A,2009-07-14,2011-06-10,B01D 24/00
493/KOL/2009 A,2009-03-19,2011-01-21,C21B 5/00
737/CHENP/2011 A,2011-02-02,2011-12-02,B05D 7/14
236/KOL/2011 A,2011-02-23,2012-11-02,C21D 9/00
682/KOL/2011 A,2011-05-18,2012-11-23,F16G 13
767/KOL/2009 A,2009-05-19,2012-05-11,C04B 7/60
114/KOL/2011 A,2011-01-28,2012-10-19,C09D 5/08
166/KOL/2011 A,2011-02-07,2012-10-26,H04N 1/00
1367/KOL/2009 A,2009-11-18,2012-10-19,C22B 1/14
1659/KOL/2008 A,2008-09-25,2012-12-07,C10M 173/00
1481/CHENP/2012 A,2012-02-16,2013-03-29,H01B 1/24
251/KOL/2012 A,2012-03-09,2013-09-13,B22D 11/05
5453/CHENP/2012 A,2012-06-22,2014-02-14,B21B 1/085
947/KOL/2005 A,2005-10-18,2009-03-13,
5106/CHENP/2011 A,2011-07-15,2014-12-26,C21D 1/673
804/KOL/2007 A,2007-05-24,2009-04-03,C23C 2/24
865/KOL/2007 A,2007-06-11,2009-06-19,C22C 38/08
1179/KOL/2012 A,2012-10-11,2014-04-18,C01B 31/18
1394/KOL/2012 A,2012-12-07,2014-06-13,C22B
27/KOL/2013 A,2013-01-08,2014-07-11,C22C 38/14
7970/CHENP/2013 A,2013-10-01,2014-08-29,"C23C 2/00, C23C 2/14, C23C 2/16"
589/KOL/2013 A,2013-05-23,2014-11-28,C09D 5/00
653/KOL/2008 A,2008-03-31,2009-10-09,C21D 8/00
1324/KOL/2012 A,2012-11-19,2014-05-23,H01L 31/042
1074/KOL/2013 A,2013-09-17,2015-03-20,H01L 21/00
1454/KOL/2013 A,2013-12-26,2015-07-10,B02C 19/00
787/KOL/2009 A,2009-06-22,2015-07-24,C04B 35/48
843/KOL/2011 A,2011-06-24,2015-03-27,C21B 7/24
409/KOL/2014 A,2014-03-28,2015-10-02,G06K 9/00
1831/KOL/2008 A,2008-10-27,2015-07-24,C21D 8/00
203/KOL/2014 A,2014-02-18,2015-08-21,C22C 38/00
880/KOL/2013 A,2013-07-23,2015-01-30,C22B 1/00
2603/CHENP/2014 A,2014-04-05,2015-08-07,"C22C 38/04, C22C 38/06, C21D 8/02"
483/KOL/2014 A,2014-04-23,2015-10-30,B26D 1/06
130/KOL/2010 A,2010-02-11,2015-07-24,C01C 1/24
854/KOL/2014 A,2014-08-19,2016-02-26,H04N 5/33
2035/CHENP/2015 A,2015-04-09,2016-07-01,"C22C 38/06, C22C 38/14"
1458/KOL/2010 A,2010-12-27,2016-09-02,B21B 45/02
1366/KOL/2014 A,2014-12-31,2016-08-26,B22D 11/124
787/KOL/2014 A,2014-07-22,2016-01-29,G01R 31/08
176/KOL/2015 A,2015-02-13,2016-08-19,H02K 1/27
941/KOL/2014 A,2014-09-16,2016-03-25,B21D 37/01
763/KOL/2011 A,2011-06-06,2016-08-05,B01D 21/26
364/CHENP/2015 A,2015-01-19,2016-07-01,"H01L 51/00, H01L 51/42"
1071/CHENP/2015 A,2015-02-24,2016-07-01,"C21D 8/04, C22C 38/04, C22C 38/06"
540/KOL/2010 A,2010-05-17,2016-09-02,G01N 3/00
7863/CHENP/2014 A,2014-10-27,2016-07-01,"C21D 8/02, C21D 8/04, C25D 5/50"
1579/KOL/2011 A,2011-12-22,2016-08-05,H02K 5/24
201647024196 A,2016-07-15,2016-08-31,"C09D 5/08, B05D 7/00, C01B 31/04"
201647024072 A,2016-07-14,2016-08-31,"C21B 13/00, C21C 5/56"
816/KOL/2010 A,2010-07-26,2016-09-02,C22B 1/02
5400/CHENP/2015 A,2015-09-07,2016-07-01,"C21D 8/02, C22C 38/00"
570/KOL/2012 A,2012-11-18,2016-08-26,G01N 15/00
1030/CHENP/2015 A,2015-02-23,2016-07-01,"C22C 38/00, C22C 38/02, C22C 38/04"
915/KOL/2012 A,2012-08-13,2016-08-26,"E01C 23/00, C22C 38/00"
7862/CHENP/2014 A,2014-10-27,2016-07-01,"C21D 8/02, C21D 8/04, C25D 5/50"
3533/CHENP/2015 A,2015-06-17,2016-07-01,"C25D 3/06, C25D 5/48, C25D 7/06"
572/KOL/2014 A,2014-05-23,2016-08-26,C22B 34/00
102/CHENP/2013 A,2013-01-04,2016-05-13,"C21D 1/70, C21D 6/00, C21D 8/04"
1061/KOL/2014 A,2014-10-17,2016-08-26,C07H 19/10
261/KOL/2014 A,2014-03-04,2016-08-26,B03B 9/00
8082/CHENP/2014 A,2014-11-05,2016-07-01,"C21D 9/46, C22C 38/00, C22C 38/04"
762/KOL/2011 A,2011-06-06,2016-07-29,C21B 3/04
82/CHENP/2013 A,2013-01-03,2016-05-13,"C21D 1/18, C21D 6/00, C22C 38/00"
201631010444 A,2016-03-28,2017-11-10,G01N 33/10
201631010979 A,2016-03-30,2017-11-10,G01N 33/22
201631004356 A,2016-02-08,2017-11-10,B32B 15/00
201631009989 A,2016-03-22,2017-11-10,C21B 3/04
257/KOL/2015 A,2015-03-10,2017-10-20,C10L 5/14
201631010473 A,2016-03-28,2017-11-10,C22B 1/14
201631009992 A,2016-03-22,2017-11-10,B27K 3/08
201631010236 A,2016-03-23,2017-11-10,B21D 35/00
290/KOL/2015 A,2015-03-18,2017-10-20,C04B 35/66
201747000584 A,2017-01-06,2017-05-26,"C23C 14/24, F16K 25/00"
201747025002 A,2017-07-14,2017-07-21,C23C 14/24
201631010298 A,2016-03-24,2017-11-10,G10K 11/22
201631011120 A,2016-03-30,2017-11-10,C22C 38/38
201631009627 A,2016-03-19,2017-11-10,C22C 38/00
201631008680 A,2016-03-12,2017-11-10,C04B 35/00
1040/KOL/2015 A,2015-10-01,2017-10-13,C21C 7/06
201847014662 A,2018-04-18,2018-04-27,C21D 9/00
201731020640 A,2017-06-13,2018-12-14,C23C 18/32
201631032052 A,2016-09-20,2018-03-23,C09D 5/00
201847044554 A,2018-11-27,2018-12-14,"C23C 14/24, H02K 44/00"
201731009246 A,2017-03-17,2018-09-21,C10L 9/00
201631040350 A,2016-11-25,2018-06-01,"C22B 1/00, C21B 5/00, C22B 7/00"
201731010785 A,2017-03-27,2018-09-28,"C22C 38/00, G11B 5/00"
201631039349 A,2016-11-18,2018-05-25,"C22B 1/00, C22B 34/00, C21C 7/00"
201731011478 A,2017-03-30,2018-10-05,G02B 26/00
201731000170 A,2017-01-03,2018-07-06,C08L 1/00
201731004683 A,2017-02-09,2018-08-10,"C10B 57/00, C21B 13/00, C10B 39/00"
201631027980 A,2016-08-17,2018-02-23,C22B 1/00
201847036425 A,2018-09-27,2018-10-05,"C22C 38/00, C21D 8/02, C23C 2/02"
201847002801 A,2018-01-24,2018-02-16,"C23C 2/02, ???:[(2006.01)]"
201731009563 A,2017-03-20,2018-09-28,C03C 17/32
201847041096 A,2018-10-31,2018-11-16,"B32B 15/08, B32B 37/20, B32B 37/15"
201631033461 A,2016-09-30,2018-04-06,C23C 22/62
201731035956 A,2017-10-10,2019-04-12,C10B 53/08
201947037974 A,2019-09-20,2019-09-27,"C23C 2/12, C23C 2/28, C23C 2/40"
201831020116 A,2018-05-29,2019-12-06,G08B 29180
201731043894 A,2017-12-07,2019-06-14,"B03B 9/00, B03B 5/30"
201831020450 A,2018-05-31,2019-12-06,F16D 66020
201831010570 A,2018-03-22,2019-09-27,C04B 35/00
201831004998 A,2018-02-09,2019-08-16,C09K 11/00
201831010537 A,2018-03-22,2019-09-27,C22C 22/00
201831001147 A,2018-01-10,2019-07-12,C22C 38/00
201731038634 A,2017-10-31,2019-05-03,C08L 2201/00
201831011222 A,2018-03-27,2019-10-04,D04H 1/00
201831007169 A,2018-02-26,2019-08-30,"C04B 14/04, C04B 22/06, C04B 22/14"
201731035648 A,2017-10-07,2019-04-12,C22B 1/00
201731041768 A,2017-11-22,2019-05-24,C25D 9/10
201831011864 A,2018-03-29,2019-10-04,"C21D 9/08, C22C 38/06"
201731042687 A,2017-11-28,2019-05-31,C02F 1/44
201831006743 A,2018-02-22,2019-02-08,"C21D 1/42, C21D 9/46"
201731030492 A,2017-08-29,2019-03-01,"B22F 1/00, C22B 1/00"
201831008232 A,2018-03-06,2019-09-13,B08B 3/00
201831011026 A,2018-03-26,2019-09-27,"C09D 1/00, C09D 7/12"
201731043030 A,2017-11-30,2019-05-31,C02F 1/20
201947024928 A,2019-06-24,2019-07-05,C21D 1/19
00336/KOL/2005 A,2005-04-20,2008-02-22,C10B 45/00
690/KOL/2007 A,2007-05-04,2008-11-14,"C21D 1/19, C21D 8/02, C22C 38/00"
154/KOL/2007 A,2007-02-02,2008-08-15,"C01G 37/02, C01G 37/033"
498/KOL/2007 A,2007-03-28,2008-10-10,B21B 45/02
374/KOL/2007 A,2007-03-13,2008-10-03,G01N 23/22
304/KOL/2007 A,2007-03-01,2008-10-03,G03G 5/04
00398/KOL/2006 A,2006-05-02,2008-05-16,C21D 1/00
305/KOL/2007 A,2007-03-01,2008-10-03,C21B 3/00
1235/KOL/2007 A,2007-09-03,2009-04-03,C22C 38/00
00171/KOL/2005 A,2005-03-16,2009-03-13,G06F 19/00
667/KOL/2006 A,2006-07-04,2009-06-19,C02F 1/62
365/KOL/2006 A,2006-04-21,2009-04-10,"B22D 11/055, B22D 011/124"
631/KOL/2006 A,2006-06-27,2009-04-10,"F16C 25/00, F16C 41/00"
151/KOL/2008 A,2008-01-25,2009-07-31,"B03D 1/00, B03D 1/00"
764/KOL/2008 A,2008-04-23,2009-10-30,C22C 38/00
880/KOL/2007 A,2007-06-18,2009-04-03,B22D 11/04
1100/KOL/2007 A,2007-08-08,2009-07-03,"G01R 27/04, G01R 27/32"
1591/KOL/2007 A,2007-11-23,2009-06-05,C21D
292/KOL/2009 A,2009-02-16,2010-08-20,C21D 6/00
291/KOL/2009 A,2009-02-16,2010-08-20,F16L 5/00
1179/KOL/2008 A,2008-07-08,2010-01-15,B65D 83/14
2051/KOL/2008 A,2008-11-25,2010-05-28,C01C 1/26
1645/KOL/2008 A,2008-09-24,2010-03-26,"F02D 29/06, B60K 6/46, B60P 1/16, B60W 10/30"
1683/KOL/2008 A,2008-09-29,2010-04-02,"C22C 38/60, C22C 38/04, C22C 47"
921/KOL/2009 A,2009-06-29,2011-09-30,G01D 11/00
934/KOL/2009 A,2009-07-01,2011-06-10,F04D 27/00
316/KOL/2011 A,2011-03-10,2012-11-02,B23K 9
772/KOL/2011 A,2011-06-07,2012-12-14,B23K 11
152/KOL/2011 A,2011-02-03,2012-08-03,B65H 75/14
1218/KOL/2009 A,2009-10-01,2012-10-19,G01N 1/28
623/KOL/2010 A,2010-06-09,2012-11-09,C21D 6/00
395/KOL/2010 A,2010-04-07,2012-11-09,H01L 31/052
1284/KOL/2009 A,2009-10-27,2012-10-19,G01L 1/22
210/KOL/2011 A,2011-02-18,2012-10-26,A47L 15/08
940/KOL/2009 A,2009-07-02,2012-11-02,C21B 13/00
230/KOL/2011 A,2011-02-23,2012-11-02,A61K 31/122
1102/KOL/2010 A,2010-09-30,2012-10-19,B21D 1/02
168/KOL/2010 A,2010-02-23,2012-10-26,C21C 5/28
1070/KOL/2009 A,2009-08-17,2012-10-12,B22B 11/12
683/KOL/2011 A,2011-05-18,2012-11-23,F25B 1/04
1549/CHENP/2012 A,2012-02-20,2012-10-26,H01G 9/20
1178/KOLNP/2013 A,2013-04-23,2013-09-13,"C08G 73/10, C09D 179/08, H01L 31/0216"
436/CHENP/2012 A,2012-01-12,2013-04-12,C01B 31/02
347/KOL/2012 A,2012-03-28,2013-10-11,B22F 1/00
675/KOL/2012 A,2012-06-18,2013-12-20,C22B
676/KOL/2012 A,2012-06-18,2013-12-20,C01G
901/KOL/2011 A,2011-07-05,2013-01-11,C10L 9/02
268/KOL/2012 A,2012-03-12,2013-09-13,"B32B 0, B32B 15/00"
558/KOL/2009 A,2009-03-30,2013-07-12,G01Q 20/04
1270/KOL/2012 A,2012-11-05,2014-05-09,C10B 39/02
239/KOL/2013 A,2013-02-28,2014-08-29,C04B
223/KOL/2013 A,2013-02-26,2014-09-05,H01J 61/00
916/KOL/2012 A,2013-02-13,2014-08-15,H01L 31/00
7964/CHENP/2013 A,2013-10-01,2014-08-08,C23C 2/00
243/KOL/2013 A,2013-03-01,2014-09-05,G01N 1/28
310/KOL/2013 A,2013-03-18,2014-09-26,C21D
1467/CHENP/2014 A,2014-02-24,2014-10-10,"C21C 1/02, C21C 7/00, C21C 7/064"
6375/CHENP/2012 A,2012-07-19,2014-03-21,"B32B 15/01, C22C 38/00, C22C 38/02"
60/KOL/2013 A,2013-01-17,2014-07-18,C10B
839/CHENP/2014 A,2014-02-03,2014-10-10,"C22C 38/04, C22C 38/06, C22C 38/12"
9240/CHENP/2013 A,2013-11-19,2014-09-12,"C21C 7/076, C21C 7/06, C21C 7/00"
189/CHENP/2013 A,2013-01-08,2014-06-27,"C08G 73/10, C09D 179/08, B05D 3/02"
4/KOL/2013 A,2013-01-03,2014-07-04,F26B 13/00
1449/KOL/2008 A,2008-08-25,2015-03-27,C22C 38/00
1158/KOL/2010 A,2010-10-19,2015-07-24,B22D 7/00
1320/KOL/2013 A,2013-11-22,2015-05-29,C22B 1/00
1370/KOL/2013 A,2013-12-04,2015-06-05,C21D 8/00
278/KOL/2013 A,2013-09-12,2015-03-20,C23C 14/00
954/KOL/2013 A,2013-08-14,2015-02-20,C22C 33/00
460/KOL/2009 A,2009-03-16,2015-08-07,G01N 5/04
1246/KOL/2013 A,2013-10-31,2015-05-08,C22B 1/00
606/KOL/2014 A,2014-06-03,2015-12-04,B22F 1/00
132/KOL/2014 A,2014-01-31,2015-08-07,C22B 34/00
956/KOL/2013 A,2013-08-16,2015-02-20,C22C 38/00
1046/KOL/2013 A,2013-09-10,2015-03-13,E04C 5/00
60/KOL/2014 A,2014-01-15,2015-07-17,C02F 1/00
1308/KOL/2013 A,2013-11-18,2015-05-22,C21D 9/00
114/KOL/2010 A,2010-02-08,2015-07-24,"B32B 15/01, C21D 9/00"
514/KOL/2014 A,2014-05-05,2015-11-06,B21B 1/28
1408/KOL/2013 A,2013-12-13,2015-07-10,C22C 38/00
28/KOL/2014 A,2014-01-07,2015-07-10,C22B 1/00
1450/KOL/2013 A,2013-12-24,2015-07-10,C10L 9/00
1509/KOL/2011 A,2011-11-28,2016-08-26,E01C 5/22
283/KOL/2014 A,2014-03-11,2016-08-26,C21B 13/00
2034/CHENP/2015 A,2015-04-09,2016-07-01,C22C 38/14
256/KOL/2014 A,2014-03-03,2016-08-26,C10M 173/00
601/KOL/2012 A,2012-05-25,2016-08-26,C01C
201647019902 A,2016-06-10,2016-08-31,"C23C 8/12, C23C 22/63, C23C 18/16"
287/KOL/2012 A,2012-03-14,2016-08-26,C22C 33/00
235/KOL/2011 A,2011-02-23,2016-09-02,C02F 1/52
3411/CHENP/2013 A,2013-05-01,2016-06-03,"C25D 5/50, C21D 8/04"
8/KOL/2012 A,2012-01-03,2016-08-26,B01J 8/20
201647001210 A,2016-01-13,2016-08-05,"C25D 3/06, C25D 5/12, C25D 9/08"
520/KOL/2010 A,2010-05-10,2016-09-02,B01D 50/00
7866/CHENP/2014 A,2014-10-27,2016-07-01,C23C 14/24
201647023748 A,2016-07-12,2016-08-31,"C23C 14/16, C25D 3/56, C23C 28/02"
1287/KOL/2014 A,2014-12-11,2016-06-17,C09D 1/00
1185/KOL/2010 A,2010-10-26,2016-09-02,C08L 83/04
725/KOL/2010 A,2010-07-02,2016-09-02,B01D 63/00
4099/CHE/2011 A,2011-11-28,2016-08-31,C23C
300/KOL/2012 A,2012-03-16,2016-03-18,"B32B 0, B32B 15/, ???:[/00]"
744/KOL/2014 A,2014-07-09,2016-01-15,C04B 28/14
343/KOL/2015 A,2015-03-27,2016-09-30,B21F 1/00
726/KOL/2010 A,2010-07-02,2016-09-02,C22C 38/00
233/KOL/2015 A,2015-03-04,2016-09-09,B01D 71/06
532/KOL/2010 A,2010-05-14,2016-09-02,C12Q 1/68
201631004825 A,2016-02-11,2017-11-10,H01S 3/10
201631010714 A,2016-03-29,2017-11-10,G01C 21/10
201747009777 A,2017-03-21,2017-04-07,"C22C 38/04, C22C 38/12, C22C 38/14"
306/KOL/2015 A,2015-03-23,2017-10-13,B21B 37/00
201631009827 A,2016-03-21,2017-11-10,C10C 1/00
310/KOL/2015 A,2015-03-23,2017-10-13,C22B 1/16
201631009920 A,2016-03-22,2017-11-10,B28B 11/24
993/KOL/2015 A,2015-09-16,2017-11-10,C21D 9/46
201631009758 A,2016-03-21,2017-11-10,C21D 8/02
201631004530 A,2016-02-09,2017-11-10,F24C 3/00
201747024999 A,2017-07-14,2017-07-21,"C01B 31/04, B82Y 30/00, B82Y 40/00"
201731010061 A,2017-03-22,2018-09-28,"C21D 1/28, C21D 8/02, C22C 38/04"
201731011793 A,2017-03-31,2018-10-05,B21C 47/00
201731010770 A,2017-03-27,2018-09-28,"C03B 5/005, C03B 5/027, ???:[C0], ???:[B5/235]"
201731010393 A,2017-03-24,2018-09-28,"B02C 17/20, B02C 17/16, B02C 17/18"
201847044666 A,2018-11-27,2018-12-14,"C23C 14/24, H02K 44/00"
201721021005 A,2017-06-15,2018-12-21,G06F 12/00
201831011372 A,2018-03-27,2019-10-04,"C10B 49/02, C10B 53/08"
201831004829 A,2018-02-08,2019-08-09,C21B 7/00
201831003850 A,2018-02-01,2019-08-02,"F24D 19/10, F24D 3/08, F24D 3/18"
201831010343 A,2018-03-21,2019-09-27,A61K 6/00
201831005831 A,2018-02-15,2019-08-23,C21B 15/00
201733044715 A,2017-12-13,2019-06-14,C04B 28/00
201831010651 A,2018-03-22,2019-09-27,E21B 10/00
201831007497 A,2018-02-28,2019-08-30,"C21B 5/00, C21B 7/00"
201731037597 A,2017-10-24,2019-04-26,C21B 3/04
201831012322 A,2018-03-31,2019-10-04,"B22D 11/045, B22D 11/047"
201731035955 A,2017-10-10,2019-04-12,C10B 53/08
201831004059 A,2018-02-02,2019-08-09,C21B 7/16
201947015178 A,2019-04-16,2019-05-17,"C21D 9/46, C21D 8/02, C22C 38/12"
201831010328 A,2018-03-21,2019-09-27,"C21B 5/00, C21B 7/24"
201731043929 A,2017-12-07,2019-06-14,B23K 9/00
201731045154 A,2017-12-15,2019-06-21,F02D 1/00
201831019387 A,2018-05-23,2019-11-29,C04B 35626
201831010054 A,2018-03-19,2019-09-20,"B22D 17/20, C21D 6/00, C22C 38/02"
368/KOL/2007 A,2007-03-13,2008-10-03,G01B 5/08
835/KOL/2007 A,2007-05-30,2008-12-05,???:[C21]
184/KOL/2007 A,2007-02-06,2008-08-22,C21C 1/00
6/KOL/2007 A,2007-01-02,2008-07-18,H01H 1/22
291/KOL/2007 A,2007-02-27,2008-09-05,C21D 9/00
610/KOL/2008 A,2008-03-26,2009-10-02,"C23C 2/00, C22F 1/00"
943/KOL/2007 A,2007-06-29,2009-07-03,B01D 39/12
665/KOL/2007 A,2007-04-30,2009-06-19,B65G 67/00
00947/KOL/2005 A,2005-10-18,2009-03-13,"B60L 13/03, ???:[:H02K] 41/03"
818/KOL/2008 A,2008-05-06,2009-11-13,C01G 49/00
339/KOL/2005 A,2005-04-21,2009-10-16,C22B 23/00
707/CAL/2001 A,2001-12-21,2009-11-13,B25J 5/00
1087/KOL/2007 A,2007-08-06,2009-04-10,"C21C 5/32, C21C 5/46"
948/KOL/2007 A,2007-07-02,2009-04-03,C23F 13/00
1271/KOL/2006 A,2006-11-24,2009-04-10,F23C 10/10
1088/KOL/2007 A,2007-08-06,2009-04-10,"C10L 5/00, C10G 1/00"
1012/KOL/2007 A,2007-07-17,2009-04-03,"B01J 8/32, B01J 8/24"
21/KOL/2008 A,2008-01-02,2009-07-03,"B05D 7/14, C21D 1/19"
1322/KOL/2007 A,2007-09-24,2009-04-10,B23K 20/12
1214/KOL/2008 A,2008-07-16,2010-01-22,B65G 69/18
1328/KOL/2008 A,2008-08-05,2010-02-12,C07F 11/00
102/KOL/2009 A,2009-01-19,2010-07-23,B23K 11/25
1518/KOL/2008 A,2008-09-03,2010-03-12,"C10G 1/00, C10L 9/02, C10G 1/00"
1685/KOL/2008 A,2008-09-29,2010-04-02,"C22C 33/00, C22C 33/00, C21C 5/52"
221/KOL/2009 A,2009-02-09,2010-08-13,G01N 33/00
1684/KOL/2008 A,2008-09-29,2010-04-02,"G05D 7/06, G05D 7/06"
1479/KOL/2008 A,2008-08-28,2010-03-05,"G01N 33/53, G01N 1/28, G01N 33/543"
1044/KOL/2009 A,2009-08-07,2011-07-22,C03B 23/00
885/KOL/2009 A,2009-06-19,2011-09-30,C21B 13/00
950/KOL/2009 A,2009-07-07,2011-01-14,C10L 9/00
951/KOL/2009 A,2009-07-07,2011-01-14,"G05B 19/418, G08B 21/00"
502/KOL/2009 A,2009-03-20,2011-01-21,F27D 7/00
514/KOL/2009 A,2009-03-23,2011-01-21,C21D 8/00
1039/KOL/2009 A,2009-08-05,2011-07-22,A61M 16/00
333/KOL/2011 A,2011-03-14,2012-11-02,C21D 9/00
645/KOL/2010 A,2010-06-16,2012-11-16,C01F 7/06
681/KOL/2011 A,2011-05-18,2012-11-23,F16G 13
1378/KOL/2009 A,2009-11-23,2012-10-19,G01N 27/90
7337/CHENP/2011 A,2011-10-11,2012-12-14,E01B 31/13
95/KOL/2011 A,2011-01-24,2012-11-16,C21D 9/663
1322/KOL/2009 A,2009-11-09,2012-10-19,C23C 2/06
226/KOL/2011 A,2011-02-23,2012-11-02,C21D 9/00
332/KOL/2011 A,2011-03-14,2012-11-02,C04B 26
825/KOL/2010 A,2010-07-27,2012-11-16,C22C 38/00
831/KOL/2011 A,2011-06-22,2012-12-28,B05D 5
741/KOL/2011 A,2011-05-31,2012-12-07,C03C 17/36
2794/CHENP/2011 A,2011-04-26,2012-08-24,H01G 9/20
384/KOL/2012 A,2012-04-02,2013-10-11,C21B
356/KOL/2012 A,2012-03-29,2013-10-11,C22C 38/38
233/KOL/2012 A,2012-03-06,2013-09-06,G01N 27/90
8152/CHENP/2011 A,2011-11-08,2013-02-15,H01G 9/20
285/KOL/2012 A,2012-03-14,2013-09-20,A61N 1/30
69/KOL/2012 A,2012-01-24,2013-07-26,G01F 23/00
555/KOL/2009 A,2009-03-30,2013-07-12,B21B 1/46
1479/KOL/2011 A,2011-11-21,2013-05-24,C22B 1/16
523/KOL/2012 A,2012-05-10,2013-11-15,G01J
633/KOL/2010 A,2010-06-11,2013-08-16,C21D 8/02
286/KOL/2012 A,2012-03-14,2013-09-20,C22C 38/28
346/KOL/2012 A,2012-03-28,2013-10-11,C01G 37/14
284/KOL/2012 A,2012-03-14,2013-09-20,C10L 1/32
454/KOL/2013 A,2013-04-23,2014-10-31,C22B 1/00
8323/CHENP/2013 A,2013-10-15,2014-11-07,"B22D 11/00, B22D 2/00, G01N 33/20"
44/KOL/2013 A,2013-01-14,2014-07-18,G05B
732/KOL/2013 A,2013-06-20,2014-12-26,C08K 5/00
321/KOL/2013 A,2013-03-20,2014-09-26,"B01D 53/78, B01D 53/14, B64D 13/00, B01D 53"
166/KOL/2013 A,2013-02-11,2014-08-15,F16J 15/00
1161/KOL/2005 A,2005-12-19,2008-02-22,G01N 27/30
1415/KOL/2012 A,2012-12-14,2014-06-20,C23F
878/KOL/2013 A,2013-07-23,2015-01-30,C22B 34/00
654/KOL/2009 A,2009-04-23,2015-08-14,C22C 38/04
4062/CHENP/2014 A,2014-05-30,2015-09-04,"C21D 8/12, H01F 1/147, C23C 22/74"
652/KOL/2010 A,2010-06-17,2015-07-24,C10B 57/04
1459/KOL/2013 A,2013-12-27,2015-07-10,"B03D 1/14, B03D 1/02"
213/CAL/2002 A,2002-04-12,2015-07-24,G11B 7/00
123/KOL/2010 A,2010-02-10,2015-04-24,B65G 67/60
655/KOL/2009 A,2009-04-23,2015-08-14,B23K 11/10
279/KOL/2014 A,2014-03-11,2015-09-25,C21D 8/00
1361/KOL/2013 A,2013-12-02,2015-06-05,B03D
1249/KOL/2013 A,2013-10-31,2015-05-08,G01M 3/00
1581/KOL/2008 A,2008-09-12,2015-03-27,C10B 53/04
528/KOL/2014 A,2014-05-09,2015-11-13,F27B 5/04
