applicationNumber,filingDate,publicationDate,ipc
201631007478 A,2016-03-03,2017-11-10,B22D 18/02
201631008798 A,2016-03-14,2017-11-10,B02C 19/00
201631011055 A,2016-03-30,2017-11-10,F27B
293/KOL/2009 A,2009-02-16,2017-01-13,B82Y 30/00
296/KOL/2015 A,2015-03-19,2017-10-20,B62D 25/04
201631007470 A,2016-03-03,2017-11-10,C02F 3/00
201731011140 A,2017-03-29,2018-10-05,B22D 11/16
201731045065 A,2017-12-14,2018-01-12,B21K 1/00
201731009556 A,2017-03-20,2018-09-28,"H05B 6/02, H05B 6/36"
201631031444 A,2016-09-15,2018-03-16,"C21B 7/00, C21B 5/00, C21B 13/00"
201731010244 A,2017-03-23,2018-09-28,C22B 1/00
201731008474 A,2017-03-10,2018-09-14,"C22C 33/00, C22C 45/00, C22C 45/02, G21F 1/08"
201731007002 A,2017-02-28,2018-08-31,"F16L 21/00, F16L 25/00, H02G 3/00"
201731000197 A,2017-01-03,2018-07-06,B22D 11/04
201631034260 A,2016-10-06,2018-04-13,"B04C 5/00, B04C 3/00, B03B 5/00"
201847044561 A,2018-11-27,2018-12-14,"C23C 14/16, C23C 14/24, H02K 44/02"
201631034554 A,2016-10-08,2018-04-13,"G01N 29/00, G01S 15/00"
201731039496 A,2017-11-06,2019-05-10,C10G 55/00
201831008701 A,2018-03-09,2019-09-13,C01B 32/336
201731029652 A,2017-08-22,2019-03-01,C21C 5/56
201831004754 A,2018-02-08,2019-08-09,"C04B 5/00, C21C 5/36, F27D 15/00"
201831009715 A,2018-03-16,2019-09-20,B08B 15/02
201947036875 A,2019-09-13,2019-09-20,G01N 1/22
201831020248 A,2018-05-30,2019-12-06,B03D 01012
201731044781 A,2017-12-13,2019-06-14,C22B 5/00
201831003638 A,2018-01-31,2019-08-02,C22B 1/16
201831015697 A,2018-04-25,2019-10-25,"C22B 1/14, C22B 1/242, C22B 1/244"
201831009521 A,2018-03-15,2019-09-20,"C25D 5/10, C25D 5/26"
201947022648 A,2019-06-07,2019-06-14,"C25D 3/06, C25D 5/36, C25D 7/06"
201831010585 A,2018-03-22,2019-09-27,F16B 1/00
201831006724 A,2018-02-22,2019-08-23,G01N 15/00
201831023206 A,2018-06-21,2019-12-27,H01L 35300
201831001743 A,2018-01-16,2019-07-19,B21B 1/28
201731042939 A,2017-11-30,2019-05-31,C10C 3/00
201831012060 A,2018-03-30,2019-10-04,G01H 1/00
00618/CAL/2002 A,2002-10-30,2008-05-09,B21B 37/00
994/KOL/2006 A,2006-09-27,2008-04-11,G01D 3/00
419/KOL/2007 A,2007-03-19,2008-10-03,B21B 3/00
621/KOL/2007 A,2007-04-20,2008-11-07,B02C 23/20
622/KOL/2008 A,2008-03-28,2009-10-02,C22C 38/20
00453/KOL/2005 A,2005-05-30,2009-03-13,H01M 2/04
701/KOL/2006 A,2006-07-13,2009-04-10,F23N 5/00
105/KOL/2006 A,2006-02-03,2009-06-19,F01K 25/08
511/KOL/2006 A,2006-05-30,2009-10-16,H02J 9/06
101/KOL/2006 A,2006-02-01,2009-06-19,"B01J 8/00, C10L 1/32"
934/KOL/2008 A,2008-05-23,2009-11-27,"C01B 1/02, C01B 7/18, C01B 7/14"
719/KOL/2007 A,2007-05-09,2009-06-19,F28F 1/40
1272/KOL/2007 A,2007-09-11,2009-07-03,"C22C 33/00, C22C 33/00"
1446/KOL/2007 A,2007-10-23,2009-05-08,G01N 29/28
740/KOL/2008 A,2008-04-17,2009-10-23,C09K 5/08
00155/KOL/2005 A,2005-03-11,2009-03-06,???:[;G01R 19/00]
1175/KOL/2008 A,2008-07-07,2010-01-15,B32B 15/04
1157/KOL/2007 A,2007-08-22,2010-04-30,C22B 1/14
1499/KOL/2008 A,2008-09-01,2010-03-05,"B01F 5/02, B01F 5/06"
1546/KOL/2008 A,2008-09-08,2010-03-12,"C22B 60/02, C22B 60/00"
1660/KOL/2008 A,2008-09-25,2010-04-02,"C21D 802, C21D 810"
1632/KOL/2008 A,2008-09-23,2010-03-26,"C02F 1/70, A62D 3/30"
1236/KOL/2008 A,2008-07-18,2010-01-22,C23C 28/00
869/KOL/2009 A,2009-06-16,2010-12-17,C22C 1/00
404/KOL/2009 A,2009-03-04,2010-04-02,B65G 39/00
1981/KOL/2008 A,2008-11-07,2010-05-14,C10G 1/04
2208/KOL/2008 A,2008-12-23,2010-06-25,C08L 21/00
15/KOL/2010 A,2010-01-08,2012-10-19,C22B 21/04
773/KOL/2011 A,2011-06-07,2012-12-14,G08B 21/02
1194/KOL/2009 A,2009-09-23,2012-10-19,C10L 9/10
736/KOL/2011 A,2011-05-30,2012-12-07,C21D 9/46
361/KOL/2011 A,2011-03-18,2012-11-02,C22B 1/243
757/KOL/2011 A,2011-06-03,2012-12-07,C10B 3/00
227/KOL/2011 A,2011-02-23,2012-11-02,B22D 39/04
68/KOL/2012 A,2012-01-24,2013-07-26,C08F 2/16
345/KOL/2012 A,2012-03-28,2013-10-11,C10L 5/00
951/KOL/2011 A,2011-07-18,2013-01-18,H01M 10/052
1423/KOL/2011 A,2011-11-04,2013-05-10,C21D 1/26
316/KOL/2012 A,2012-03-21,2013-09-27,C22C 38/00
67/KOL/2012 A,2012-01-24,2013-07-26,C21B 5/00
3533/CHENP/2012 A,2012-04-19,2013-08-02,C08G 73/10
303/KOL/2012 A,2012-03-19,2013-09-20,F01P 11/16
536/KOL/2009 A,2009-03-25,2013-07-12,C02F 1/68
196/KOL/2012 A,2012-02-27,2013-08-30,C22C 38/00
99/KOL/2013 A,2013-01-28,2014-08-01,C01B
1190/KOL/2012 A,2012-10-18,2014-04-25,C21B 13/00
351/KOL/2013 A,2013-03-28,2014-10-03,B22D
6016/CHENP/2012 A,2012-07-09,2014-03-21,"C09D 5/38, C09D 183/04, B05D 3/02"
5836/CHENP/2013 A,2013-07-19,2014-09-26,"B21D 53/26, B21D 53/30, B60B 3/08"
53/KOL/2013 A,2013-01-16,2014-07-18,C21B
314/KOL/2013 A,2013-03-19,2014-09-26,C22B
5373/CHENP/2012 A,2012-06-20,2014-02-28,C21D 8/12
1472/KOL/2012 A,2012-12-28,2014-07-04,E21B 17/00
286/KOL/2013 A,2013-03-13,2014-09-26,C02F
313/KOL/2013 A,2013-03-19,2014-09-26,C22B
1185/KOL/2012 A,2012-10-12,2014-04-18,C22B 3/02
1407/KOL/2013 A,2013-12-13,2015-07-10,C23C 2/00
1395/KOL/2008 A,2008-08-19,2015-08-14,C21C 5/00
762/CHENP/2014 A,2014-01-30,2015-04-03,"C09D 5/08, C09D 179/08"
1321/KOL/2013 A,2013-11-22,2015-05-29,G01N 29/00
627/KOL/2009 A,2009-04-17,2015-08-14,C22B 1/00
1465/KOL/2013 A,2013-12-30,2015-07-10,C21B 5/00
336/KOL/2014 A,2014-03-18,2015-09-25,B07B 1/00
408/KOL/2014 A,2014-03-28,2015-10-02,G01N 21/00
1463/KOL/2013 A,2013-12-30,2015-07-10,C22B 1/00
879/KOL/2013 A,2013-07-23,2015-01-30,C22B 34/00
13/KOL/2014 A,2014-01-03,2015-07-10,B65G 21/00
482/KOL/2014 A,2014-04-23,2015-10-30,F27D 1/00
671/KOL/2009 A,2009-04-27,2015-08-14,C01B 11/14
610/KOL/2009 A,2009-04-09,2015-08-14,C23C 2/04
316/KOL/2014 A,2014-03-14,2015-09-25,C04B 35/00
1002/KOL/2011 A,2011-07-27,2016-07-22,B22F 9/24
704/KOL/2014 A,2014-06-27,2016-01-01,B22D 11/00
630/KOL/2014 A,2014-06-10,2016-08-26,B65H 3/00
971/KOL/2014 A,2014-09-22,2016-04-01,B03B 9/00
925/KOL/2014 A,2014-09-10,2016-03-11,"B03C 1/015, B03C 1/02, C22B 1/02"
888/CHENP/2014 A,2014-02-04,2016-07-01,"C23C 2/26, C09D 5/08"
602/KOL/2010 A,2010-06-02,2016-09-02,B32B 15/01
837/KOL/2010 A,2010-07-29,2016-09-02,C23C 2/00
1369/KOL/2014 A,2014-12-31,2016-07-22,E04B 2/56
181/KOL/2011 A,2011-02-11,2016-09-02,C23C 28/00
826/KOL/2014 A,2014-08-04,2016-02-12,E04C 5/07
201647032472 A,2016-09-23,2016-11-11,"C09D 183/04, C09D 183/06, C09D 183/08"
134/KOL/2015 A,2015-02-04,2016-08-26,C22C 38/00
1038/CHENP/2015 A,2015-02-23,2016-07-01,"C21D 8/02, C22C 38/00, C22C 38/06"
5572/CHENP/2014 A,2014-07-18,2016-07-01,"C23C 14/16, C23C 14/02"
456/KOL/2012 A,2012-10-24,2016-08-26,C10L 9/00
605/KOL/2012 A,2012-11-25,2016-08-26,"G05B 19/00, G05B 15/00, G05B 17/00"
2105/DELNP/2013 A,2013-03-08,2016-04-01,C22C 38/00
1314/CHENP/2014 A,2014-02-19,2016-07-01,"G01F 23/24, C21C 5/46, G01F 23/04"
8828/CHENP/2013 A,2013-11-04,2016-06-24,B32B 15/04
201647012967 A,2016-04-13,2016-08-05,"B21D 37/16, C21D 8/02, C21D 9/46"
667/KOL/2011 A,2011-05-16,2016-08-26,H05H 1/40
1192/KOL/2014 A,2014-11-18,2016-08-26,C04B 5/00
604/KOL/2012 A,2012-05-25,2016-08-26,C23C 4/00
366/KOL/2012 A,2012-03-30,2016-08-26,B23K 20/12
201631008225 A,2016-03-09,2017-11-10,G08B 21/18
201631009582 A,2016-03-18,2017-11-10,B22D 11/10
1022/KOL/2015 A,2015-09-28,2017-10-13,B65G 49/00
201631009707 A,2016-03-21,2017-11-10,C21D 9/56
201631008774 A,2016-03-14,2017-11-10,C02F 1/22
354/KOL/2015 A,2015-03-30,2017-10-13,C10L 5/04
202/KOL/2015 A,2015-02-24,2017-10-20,C22B 1/00
201631001878 A,2016-01-19,2017-11-10,C21C 5/52
272/KOL/2015 A,2015-03-12,2017-10-20,B22D 11/00
215/KOL/2015 A,2015-02-27,2017-10-20,B82B 1/00
201631009998 A,2016-03-22,2017-11-10,C22B 1/00
201631008793 A,2016-03-14,2017-11-10,C22C 38/00
201631009996 A,2016-03-22,2017-11-10,B07B 1/04
201631008249 A,2016-03-09,2017-11-10,C21C 7/00
201631010529 A,2016-03-28,2017-11-10,C21B 13/00
201631002871 A,2016-01-27,2017-07-28,C07B 37/08
231/KOL/2015 A,2015-03-03,2017-10-20,C21D 8/02
201631010025 A,2016-03-22,2017-11-10,F16L 11/08
201631005833 A,2016-02-19,2017-11-10,C10B 1/04
201731004450 A,2017-02-07,2018-08-10,"C21D 1/00, C21D 1/34, C21D 9/54"
201631031303 A,2016-09-14,2018-03-16,"C02F 1/00, B01J 20/00, C02F 9/00"
201631042448 A,2016-12-13,2018-06-15,"C21B 7/14, F27D 3/14"
201731004831 A,2017-02-10,2018-08-17,"C21C 5/52, C22B 9/18, B22D 11/10"
201631039505 A,2016-11-19,2018-05-25,C10B 57/00
201731015954 A,2017-05-05,2018-11-09,E05F 11/00
201721000689 A,2017-01-06,2018-07-13,"C09D 5/00, C08K 3/00"
201631031494 A,2016-09-15,2018-03-16,"C21B 7/00, C21B 5/00, C21B 13/00"
201631044747 A,2016-12-29,2018-07-06,"G01R 31/00, G01N 3/00, G01N 33/00"
201847025653 A,2018-07-10,2018-07-20,"B32B 15/01, C21D 6/00, C21D 8/02"
201631041681 A,2016-12-06,2018-06-08,"B22D 11/00, C21D 8/00"
201631040521 A,2016-11-28,2018-06-01,"C22B 1/00, C10L 5/00"
201731010924 A,2017-03-28,2018-10-05,C04B 24/10
201731009408 A,2017-03-17,2018-09-21,"E04C 5/03, B32B 15/18"
201731011717 A,2017-03-31,2018-10-05,B01D 21/00
201731009487 A,2017-03-18,2018-09-21,B01J 2/00
201631036879 A,2016-10-27,2018-05-04,B22D 11/00
201731035223 A,2017-10-04,2019-04-05,C23C 10/34
201831010749 A,2018-03-23,2019-09-27,C21B 3/08
201731042411 A,2017-11-27,2019-05-31,F16N 19/00
201947038244 A,2019-09-23,2019-10-04,"C23C 2/12, C23C 2/28, C23C 2/40"
201831005223 A,2018-02-12,2019-08-16,C23C 28/00
201831004075 A,2018-02-02,2019-08-09,C07D 487/00
201831012258 A,2018-03-31,2019-10-04,B23K 11/00
201947046526 A,2019-11-15,2019-11-22,"C21D 8/02, C21D 9/48, C21D 1/20"
201831012302 A,2018-03-31,2019-10-04,B21C 37/00
201831009546 A,2018-03-15,2019-09-20,C21C 5/52
201831007906 A,2018-03-03,2019-09-06,"B02C 1/14, B02C 23/08, B02C 25/00"
201831007360 A,2018-02-27,2019-08-30,C01G 45/00
201831012470 A,2018-04-02,2019-10-11,B01D 29/01
967/KOL/2006 A,2006-09-25,2008-04-11,B21D 1/00
570/KOL/2007 A,2007-04-11,2008-10-17,B22D 11/00
959/KOL/2006 A,2006-09-20,2008-04-11,C21B 5/00
00037/KOL/2005 A,2005-01-25,2008-05-16,C23C 22/42
237/KOL/2007 A,2007-02-15,2008-08-29,G01N 11/00
803/KOL/2007 A,2007-05-24,2008-12-05,C01B 3/56
427/KOL/2007 A,2007-03-20,2008-10-03,B09B 3/00
453/KOL/2007 A,2007-03-22,2008-10-03,"C21C 7/00, C21D 8/12"
71/KOL/2007 A,2007-01-19,2008-08-29,G01M 7/00
894/KOL/2006 A,2006-09-05,2009-06-19,F04D 31/00
1134/KOL/2007 A,2007-08-16,2009-04-03,F24B 15/02
523/KOL/2008 A,2008-03-14,2009-09-18,"C09D 5/08, C23C 22/68"
106/KOL/2008 A,2008-01-15,2009-07-31,G01N 29/00
331/KOL/2006 A,2006-04-13,2009-04-10,G01B 7/16
485/KOL/2006 A,2006-05-23,2009-04-10,C08L 17/00
967/KOL/2007 A,2007-07-06,2009-04-03,C22B 1/00
1322/KOL/2006 A,2006-12-08,2009-04-10,F16J 15/18
377/KOL/2007 A,2007-03-14,2009-06-19,B23P 3/00
958/KOL/2007 A,2007-07-03,2009-04-03,C21D 8/00
975/KOL/2007 A,2007-07-09,2009-04-10,G01N 3/48
907/KOL/2006 A,2006-09-07,2009-10-16,B03D
233/KOL/2006 A,2006-03-20,2009-06-19,C21C 5/52
726/KOL/2008 A,2008-04-16,2009-10-23,"B03C 1/00, C22B 1/00"
1295/KOL/2006 A,2006-11-29,2009-04-10,G05B 1/00
1391/KOL/2008 A,2008-08-18,2010-02-26,G01N 27/403
246/KOL/2009 A,2009-02-11,2010-08-20,"B32B 5/26, B32B 25/10"
1128/KOL/2008 A,2008-06-27,2010-04-02,"C21D 8/12, C22C 38/00"
1364/KOL/2008 A,2008-08-13,2010-02-19,C21B 7/24
1560/KOL/2008 A,2008-09-09,2010-03-12,"C04B 20/10, C04B 14/38, C04B 20/00"
306/KOL/2009 A,2009-02-18,2010-08-27,C23F 11/00
967/KOL/2009 A,2009-07-13,2011-01-21,B03B 5/00
231/KOL/2011 A,2011-02-23,2012-11-02,C23C 2
1108/KOL/2009 A,2009-08-31,2012-10-12,B60T 11/10
73/KOL/2010 A,2010-01-28,2012-11-16,B22D 11/05
1177/KOL/2010 A,2010-10-25,2012-10-19,C22B 19/00
191/KOL/2011 A,2011-02-15,2012-10-26,B01J 7/00
691/KOL/2011 A,2011-05-19,2012-11-23,F16G 1
1453/KOL/2010 A,2010-12-23,2012-10-19,C02F 1/52
302/KOL/2011 A,2011-03-08,2012-11-02,B01D 61
1519/KOL/2011 A,2011-12-02,2012-12-07,C09D 201
1253/KOL/2010 A,2010-11-08,2012-10-19,C25D 5/00
766/KOL/2010 A,2010-07-15,2012-11-16,B60B 33/04
6100/CHENP/2011 A,2011-08-25,2012-11-23,F24D 5/00
2331/KOLNP/2013 A,2013-07-22,2013-11-22,"C21D 8/00, C22C 38/18, C22C 38/38"
74/KOL/2012 A,2012-01-25,2013-07-26,B22D 11/00
352/KOL/2012 A,2012-03-29,2013-10-11,C04B 7/26
212/KOL/2012 A,2012-03-01,2013-09-06,C23C 2/06
367/KOL/2012 A,2012-03-30,2013-10-11,C21D 6/00
1418/KOL/2011 A,2011-11-03,2013-05-10,C23C 22/07
599/KOL/2012 A,2012-05-25,2013-11-29,D21C
418/KOL/2012 A,2012-04-11,2013-10-18,B29C
311/KOL/2013 A,2013-03-18,2014-09-26,C22C
462/KOL/2013 A,2013-04-25,2014-10-31,B61F 15/00
257/KOL/2013 A,2013-03-06,2014-09-12,H02P 21/00
399/KOL/2006 A,2006-05-02,2008-05-16,H01F 1/00
1401/KOL/2012 A,2012-12-13,2014-06-20,C23C
1082/KOL/2012 A,2012-09-21,2014-03-28,C01G 49/00
802/KOL/2007 A,2007-05-24,2009-04-03,C22B 34/00
1328/KOL/2012 A,2012-11-19,2014-05-23,C09D 5/08
7003/CHENP/2013 A,2013-08-30,2014-08-01,"C21D 8/02, C21D 9/46, C22C 38/04"
281/KOL/2013 A,2013-03-12,2014-09-26,C23C
621/KOL/2013 A,2013-05-28,2014-12-05,B03B 1/00
396/KOL/2014 A,2014-03-26,2015-10-02,G01N 33/00
60/KOL/2010 A,2010-01-25,2015-07-24,C21D 1/04
702/KOL/2009 A,2009-05-05,2015-07-24,B01J 20/04
656/KOL/2009 A,2009-04-23,2015-08-14,B60B 33/00
1356/KOL/2013 A,2013-11-29,2015-06-05,G01N 29/00
395/KOL/2014 A,2014-03-26,2015-10-02,C22B 1/00
866/KOL/2013 A,2013-07-22,2015-01-30,C10B 57/00
1467/KOL/2013 A,2013-12-30,2015-07-10,B22D 41/00
517/KOL/2014 A,2014-05-06,2015-11-13,F16B 5/00
877/KOL/2009 A,2009-06-17,2015-04-24,C21D 8/02
1409/KOL/2013 A,2013-12-13,2015-07-10,F27B 9/00
1362/KOL/2013 A,2013-12-02,2015-06-05,C01B 7/00
1411/KOL/2013 A,2013-12-13,2015-07-10,C21D 1/00
2734/CHENP/2014 A,2014-04-10,2015-07-03,"C21D 1/20, C21D 9/46, C22C 38/04"
1431/KOL/2013 A,2013-12-18,2015-07-10,C07C 13/00
1345/KOL/2013 A,2013-11-28,2015-06-05,B03D 1/018
1090/KOL/2009 A,2009-08-24,2015-08-14,B01D 63/16
835/KOL/2014 A,2014-08-08,2016-02-12,C22B 3/00
315/KOL/2012 A,2012-03-21,2016-08-26,A61B 8/00
670/KOL/2010 A,2010-06-23,2016-09-02,C01F 7/00
7967/CHENP/2014 A,2014-10-30,2016-07-01,"C23C 2/06, C22C 38/00, C22C 38/02"
7009/CHENP/2014 A,2014-09-23,2016-07-01,"C21D 1/68, C21D 1/70, C21D 8/02"
1696/CHENP/2015 A,2015-03-24,2016-07-01,"C23C 2/02, C23C 2/06, C23C 2/26"
5486/CHENP/2007 A,2007-11-29,2016-04-08,C23C 14/24
694/KOL/2009 A,2009-05-04,2016-09-02,B22D 11/00
33/KOL/2012 A,2012-01-13,2016-08-26,G06K 7/10
8724/CHENP/2014 A,2014-12-02,2016-07-01,C22C 38/00
7968/CHENP/2014 A,2014-10-30,2016-07-01,"C23C 2/06, C22C 38/00, C22C 38/02"
201647018937 A,2016-06-02,2016-08-31,"C23C 14/24, B01D 1/00"
1077/KOL/2014 A,2014-10-22,2016-04-29,B03D 1/018
559/KOL/2014 A,2014-05-20,2016-08-26,C01G 49/00
182/KOL/2013 A,2013-02-18,2016-08-26,C21B 13/00
5452/CHENP/2014 A,2014-07-15,2016-03-04,"C21B 13/00, C21B 13/14, C21C 5/56"
2333/CHENP/2013 A,2013-03-25,2016-06-03,"C21D 8/04, C21D 9/46, C22C 38/02"
11/KOL/2012 A,2012-01-04,2016-08-26,C22B 11/06
7865/CHENP/2014 A,2014-10-27,2016-07-01,"C25D 5/48, C25D 5/50, C25D 5/12"
826/KOL/2011 A,2011-06-20,2016-08-26,C22C 9/00
352/KOL/2015 A,2015-03-30,2017-10-20,G06F 17/50
230/KOL/2015 A,2015-03-03,2017-12-08,C23C 10/32
201631008331 A,2016-03-10,2017-11-10,B01J 20/04
626/KOL/2015 A,2015-06-02,2017-10-20,C21D 9/46
201631010030 A,2016-03-22,2017-11-10,C10L 9/02
1157/KOL/2015 A,2015-11-16,2017-10-13,C22C 38/18
324/KOL/2015 A,2015-09-25,2017-12-08,B21B 13/00
622/KOL/2015 A,2015-06-02,2017-10-20,F16G 11/04
201631005327 A,2016-02-16,2017-11-10,G05B 15/02
201631003382 A,2016-01-30,2017-11-10,C22B 1/20
201747003812 A,2017-02-02,2017-06-02,"C22C 38/04, C22C 38/38, C21D 9/46"
321/KOL/2015 A,2015-03-25,2017-10-13,C21D 8/02
201631040570 A,2016-11-28,2018-06-01,"C21C 5/00, F22B 1/00, F27D 3/00"
201731007678 A,2017-03-04,2018-09-07,"B02C 23/00, B02C 23/08"
201731009248 A,2017-03-17,2018-09-21,G01N 33/00
201631032049 A,2016-09-20,2018-03-23,C23C 22/00
201731007076 A,2017-02-28,2018-08-31,"C22B 34/00, C21B 3/00"
201631023212 A,2016-07-06,2018-01-12,B22D 11/00
201631044755 A,2016-12-29,2018-07-06,"G01J 3/00, G01N 21/00, G06T 7/00"
201731011811 A,2017-03-31,2018-10-05,B05B 3/00
